D***y K.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,23 Dec 2015 06:04,item as described. good communication. fast shipment
﻿A***a J.,ca,A4,[Official English Version] Xiaomi G...,1 piece,100%,23 Dec 2015 04:19,It works.
﻿S***v K.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,22 Dec 2015 06:16,"Цена была самая низкая у данного продавца. Роутер пришел с английской прошивкой, что порадовало. Из коробки умеет загружать торенты (но медленно), виден как DLNA-устройство на смарт-ТВ. Работает тихо.
Excellent price, came with english firmware, visible as DLNA-device for smart-TV, handle and downloads torrents from the box. Works quietly."
﻿S***k S.,kr,A3,[Official English Version] Xiaomi G...,1 piece,100%,22 Dec 2015 02:10,
﻿Vitaly N.,ua,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 22:10,очень классный роутер. рекомендую.
﻿S***t C.,in,A3,[Official English Version] Xiaomi G...,1 piece,80%,21 Dec 2015 22:02,
﻿Diego G.,mx,A2,[Official English Version] Xiaomi G...,1 piece,80%,21 Dec 2015 22:00,Great!
﻿R***d M.,nl,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 22:00,"Nice product, a more elaborate manual would help because figuring out all functions takes some time with only the included quick start guide."
﻿K***n H.,kr,A2,[Official English Version] Xiaomi G...,1 piece,60%,21 Dec 2015 22:00,"Not SSD, HDD in system. So it's weighty and Noisy~ But Wireless NAS is good"
﻿D***y N.,il,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:58,very good product. fast delivery
﻿D***y K.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,23 Dec 2015 06:04,item as described. good communication. fast shipment
﻿A***a J.,ca,A4,[Official English Version] Xiaomi G...,1 piece,100%,23 Dec 2015 04:19,It works.
﻿S***v K.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,22 Dec 2015 06:16,"Цена была самая низкая у данного продавца. Роутер пришел с английской прошивкой, что порадовало. Из коробки умеет загружать торенты (но медленно), виден как DLNA-устройство на смарт-ТВ. Работает тихо.
Excellent price, came with english firmware, visible as DLNA-device for smart-TV, handle and downloads torrents from the box. Works quietly."
﻿S***k S.,kr,A3,[Official English Version] Xiaomi G...,1 piece,100%,22 Dec 2015 02:10,
﻿Vitaly N.,ua,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 22:10,очень классный роутер. рекомендую.
﻿S***t C.,in,A3,[Official English Version] Xiaomi G...,1 piece,80%,21 Dec 2015 22:02,
﻿Diego G.,mx,A2,[Official English Version] Xiaomi G...,1 piece,80%,21 Dec 2015 22:00,Great!
﻿R***d M.,nl,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 22:00,"Nice product, a more elaborate manual would help because figuring out all functions takes some time with only the included quick start guide."
﻿K***n H.,kr,A2,[Official English Version] Xiaomi G...,1 piece,60%,21 Dec 2015 22:00,"Not SSD, HDD in system. So it's weighty and Noisy~ But Wireless NAS is good"
﻿D***y N.,il,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:58,very good product. fast delivery
﻿Oleksandr T.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:57,Works fine.
﻿K***o L.,kr,A4,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:56,
﻿O***a M.,ua,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:55,Отлично!
﻿M***s M.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:54,"Долгая  доставка.  Пришло  без  повреждений,  отслеживался.  Роутер  шикарен  и  своих  денег  стоит"
﻿A***r F.,by,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:54,
﻿V***a V.,lt,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:54,
﻿I***o P.,de,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:54,
﻿J***k A.,kr,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:53,
﻿V***m T.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:52,"Товар шёл чють больше месяца, транзитом через Эстонию. Упаковку не вскрывали, как с завода. Все работает. По умолчанию идёт два языка: китайский и английский. Плюс продавец положил переходник в розетку. Установка заняла минут 20. Теперь разбираясь в нюансах."
﻿M***r W.,pl,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:51,
﻿V***l P.,bg,A2,[Official English Version] Xiaomi G...,1 piece,80%,21 Dec 2015 21:51,The range is great. The only problem is that the PC client software is too limited and have no english by default.
﻿D***s N.,lv,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:51,everything ok
﻿Sergio S.,it,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:50,"Fast shipping! Good product, easy to use with the app! not for advanced users... system little bit closed for me..."
﻿D***o B.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:50,"Отличный роутер. Хороший сигнал, легкая и удобная настройка. Единственное что, в комплекте нету ethernet кабеля + английский интерфейс переведен коряво, но в остальном все отлично. Покупкой доволен."
﻿D***y G.,ua,A3,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:50,"Доставка чуть более месяца, коробка не много помята была, но все целое и работает отлично, роутером доволен!"
﻿S***n K.,kr,A2,[Official English Version] Xiaomi G...,1 piece,100%,21 Dec 2015 21:50,good
﻿G***o K.,kr,A3,[Official English Version] Xiaomi G...,1 piece,80%,21 Dec 2015 21:50,"It is good but when I upgraded firmware, it changed to Chinese. What's the solution for that?"
﻿S***t E.,th,A2,[Official English Version] Xiaomi G...,1 piece,100%,20 Dec 2015 19:51,all OK
﻿N***a C.,th,A2,[Official English Version] Xiaomi G...,1 piece,100%,18 Dec 2015 09:46,Good
﻿S***o K.,kr,A2,[Official English Version] Xiaomi G...,1 piece,100%,13 Dec 2015 22:07,"영문버전 펌웨어. 잘되네요. good, original 100% xiaomi"
﻿V***v G.,ru,A2,[Official English Version] Xiaomi G...,1 piece,100%,11 Dec 2015 02:26,"Спасибо продавцу, общительный. Быстрая доставка. Оборудование пока не пробовал. Но на внешний вид не хуже яблочного. Собрано очень качественно."
﻿J***g S.,us,A3,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:21,good
﻿R***u L.,nz,A3,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:20,
﻿H***n K.,kr,A3,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:19,
﻿Peter H.,my,A4,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:19,"Thank you, received the order.
Working great!"
﻿T***i P.,es,A2,[Official English Version] Xiaomi G...,1 piece,80%,09 Dec 2015 17:18,
﻿Yanis K.,ru,A2,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:18,"Покупкой доволен. Пришло быстро, за две недели. установка, настройка и танцы с бубном заняли часов 6. Недостатки: нет русской прошивки,и что торренты сам скачивать не может или сам я не понял как это делать. со всех устройств в сети и ВайФае виден и ТВ его видит это большой +. Скачиваю на него с помощью ноутбука. 
Моментами интернет через ВайФай отваливается. Эту проблему пока не решал. 
Продавцом доволен! Спасибо.
Seller satisfied! Thank you."
﻿E***r B.,us,A2,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:16,Fast Shipping! Product as described!
﻿O***g K.,il,A4,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:16,
﻿J***n K.,kr,A3,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:16,
﻿J***o M.,kr,A2,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:15,
﻿V***d C.,ua,A4,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:15,
﻿J***h P.,kr,A2,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:14,perfect~!
﻿A***o L.,cl,A3,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:14,
﻿L***a L.,ru,A3,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:14,"Отличный девайс. Полностью отвечает моим ожиданиям. Англ.язык, DLNA сервер и все остальное как в описании. Торренты качает, прямо с телефона можно добавлять, раздает по DLNA на телек - - - копм можно уже вообще не включать. Отправили курьерской почтой SPRS. Правда продавец тугой какой-то, характеристики не знает, отправлял долго а так все норм.

Very nice device. ))) if you have any question you can write me 1747@bk.ru . Because i hadn't found any information about that model before."
﻿G***t L.,fx,A4,[Official English Version] Xiaomi G...,1 piece,100%,09 Dec 2015 17:13,
