1,"(Ship from US)
Scooter hover board Electric self balancing Scooter Smart wheel hoverboard unicycle Standing Skateboard drift scooter airboard",F,US $243.00/piece,Just Fashion !,21778,"http://www.aliexpress.com/item/Scooter-hover-board-Electric-self-balancing-Scooter-Smart-wheel-hoverboard-unicycle-Standing-Skateboard-drift-scooter-airboard/32555881037.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,"(Ship from US)
2 Wheel Self Balance Electric Scooters 6.5 Inch 500W Electric Skateboard Hoverboard 36V 4400mah Battery 7 Days Fast Delivery",Orders (36),US $233.16 - 249.40/piece,"Shenzhen VCOO Technology Co.,Ltd.",253,"http://www.aliexpress.com/item/Two-Wheels-Self-Balancing-Monorover-Hoverboard-Airboard-Smart-Self-Balance-2-Wheel-Electric-Standing-Scooter/32436138147.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,iScooter hover board Electric self balancing Scooter Smart wheel hoverboard unicycle Standing Skateboard drift scooter airboard,Orders (2270),US $231.90 - 242.90/piece,"Shenzhen Digihero Technology Co., Ltd",8390,"http://www.aliexpress.com/item/Speedway-Electric-Scooter-Two-2-Wheel-Electric-Standing-Self-Balance-Scooters-Skateboard-Traffic-jam-for-Office/32397261750.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,Two wheels Bicycle with Remote Key Self balancing Electric Scooter Mini Smart Balance 4400mah Electric Skateboard Hoverboard,Orders (204),US $215.00 - 233.00/piece,"Sheng Tang Technology Co., Ltd.",24063,"http://www.aliexpress.com/item/Two-wheels-Bicycle-with-Remote-Key-Self-balancing-Electric-Scooter-Mini-Smart-Balance-4400mah-Electric-Skateboard/32507601224.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,"(Ship from US)
US UK Stock 2 Wheel Balancing Scooter Smart Electric Balance Scooter Self Unicycle Balance Board Drift Scooter Outdoor LED Light",Order (1),US $259.00/piece,Beauty Supermarket,2316,"http://www.aliexpress.com/item/2-Wheel-Balancing-Scooter-Smart-Electric-Balance-Scooter-Self-Unicycle-Balance-Board-Drift-Scooter-Outdoor-Sports/32540248902.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,Xmas gift 2 Two Wheel Smart Self Balancing Scooter Electric Standing Scooter Unicycle Scooter Hoverboard Drifting Balance Board,Orders (135),US $255.99/piece,"NPET Technology Co., LTD",317,"http://www.aliexpress.com/item/2-wheel-electric-standing-scooter-self-balancing-scooter-Monorover-Hoverboard-Unicycle-Airboard-Electric-Drifting-Board-Personal/32462395302.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,Electric Scooter hoverboard unicycle Smart wheel Skateboard drift airboard adult motorized 2 / two wheels self balancing scooter,Orders (238),US $500.00/piece,"Shenli Electronic Technology (HongKong) Co.,Ltd.",3285,"http://www.aliexpress.com/item/Electric-Scooter-hoverboard-unicycle-Smart-wheel-Skateboard-drift-airboard-adult-motorized-2-two-wheels-self-balancing/32524810735.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,2 Wheel Balancing Scooter Smart Electric Balance Scooter Self Unicycle Balance Board Drift Scooter hoverboard Outdoor Sports,Orders (149),US $215.00 - 230.00/piece,"Shenzhen Shangtong Tianxia Information Consultation Co., Ltd.",12290,"http://www.aliexpress.com/item/2015-Hot-sale-2-Wheel-Smart-Electric-Balance-Scooter-Hoverboard-Outdoor-Adult-Self-Unicycle-Balancing-Mini/32522680400.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,New 2 Wheel Balance Electric Standing Scooter Hoverboard Unicycle Smart two wheels Self Balancing Scooters Board For Adult,Orders (437),US $219.00/piece,"Lyman International Trade Group Co ., Ltd .",7949,"http://www.aliexpress.com/item/New-Electric-Scooter-Hoverboard-Smart-2-wheels-Skateboard-Drift-Airboard-For-Adult-Motorized-Two-Wheel-Self/32542073660.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,Best 10 inch Smart Self Balancing Scooter Unicycle Electric Hover Board 2 Wheels NO TAX,Orders (59),US $279.99/piece,IS-TOOLS,995,"http://www.aliexpress.com/item/10-Inches-Smart-Self-Balancing-Electric-Unicycle-Scooter-balance-2-wheels-with-Bluetooth-Speaker-Remote-Control/32525072475.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
?1,Newest Version High Quality 2 Wheel self balancing Electric Scooter hands free hoverboard Smart skateboard unicycle Drop ship,Orders (339),US $168.30 - 319.50/piece,Sonia's Super Store,8495,"http://www.aliexpress.com/item/NEW-Electric-Self-balancing-scooter-hoverboard-2-Wheels-Standing-Scooter-Smart-wheel-Skateboard-drift-airboard/32431659671.html?ws_ab_test=searchweb201556_6_79_2_78_77_82_80_62,searchweb201644_0,searchweb201560_1"
