page,wID,wtitle,wsub,Link
1,青岛天天乐,三七的用法用量,"注意:三七粉饭前饭后服用没有严格区分,尽量是饭前服用,如果空腹服用难受身体不适,可以饭后服用.1、跌打损伤等各种出血症,直接用三七粉撒布伤口即可,伤口较大的,撒布三七粉后,再用消毒纱布加压包扎,可迅速止血. 2、三七粉、三七片或三七胶囊,一次2克,每日2-3次,温...",http://weixin.sogou.com/gzh?openid=oIWsFt7I9EObkIhs3-LHY_3PsPLA&ext=zMKRwhGG3zaP2cd7zaaFi_6vhi2tUl9r8B0y-FG_VGXWGUXninCukILpKp6I_yRv
1,红鹤谷有机食品,三七超微粉美白、祛斑的用法,"三七粉具有很好的活血化瘀的功效,特别是三七粉有效成份中的PDS和PNS对人体皮肤有很好的抗衰老功能,除此之外还可以消除老年斑和皮肤上细小的皱纹.三七粉中的PDS和PNS因子可以渗透到皮肤底层,加速皮肤中微血液循环,促进色素和毒素的清除,增强皮肤的呼吸,从而让皮肤看...",http://weixin.sogou.com/gzh?openid=oIWsFt90B5y__EUUOWB725CFdqjc&ext=zMKRwhGG3zYKZLIyG-L4KSlGpFSrN_azUkYGKaWhRIOaD1TgvMabdYn6apn0MFLm
1,品一堂滋补品之家,三七泡酒的配方及用法!,"了解冬虫夏草、黑枸杞 藏红花、海参、海马、玛卡、燕窝、人参、鹿茸、铁皮石斛 、三七、灵芝孢子粉、等滋补品的价格、产品、供求等信息,经销商和关爱健康人士最喜爱的微信平台!三七泡酒的配方及用法,大家只了解到有止血、活血化瘀、消肿定痛、滋补强壮、抗疲劳、耐缺氧、抗衰...",http://weixin.sogou.com/gzh?openid=oIWsFt2sJOI_p_3gi_6G8ieVTLPE&ext=zMKRwhGG3zYryVfIqEh0I62u4k5paMTttZgU1rlGlFXANrOzUqTAal_egZxsJWUM
1,文山三七资讯,三七花的功效和用法(7月28日-8月3日三七市场交易价格),"7月28日-8月3日各规格三七平均交易价格柱状图7月28日-8月3日各规格三七平均交易价格区间值PS:市场上的三七,臭七比例,干湿程度不一,外形好看与否,规格是否均匀都是影响三七大货价格的主要原因,如需清洗泥土、挑拣臭七、烂七,则需要计算相应损耗及臭七、烂七再次销售时的...",http://weixin.sogou.com/gzh?openid=oIWsFt-5-2SJa4j0YB8QGTZ8OYYY&ext=zMKRwhGG3zYAr8dX1tHMEn_yXK7U6eRjWk70YsBHYd9vyBaaSzih4jtNqAy4605C
1,御品生活,三七的著名功效和神奇用法,"今天小编将要给大家介绍一下三七的一些著名功效的使用方法和注意事项,这些在生活中都有着广泛的应用.  类型一  1、治疗高血脂 以三七粉末,每日服 3 次,每日服 0.6 克,饭前用温开水冲服.一般 1 至 2 个月为 1 疗 程.此法对冠心病、高血压病、脑动脉硬化症伴有血脂及胆固醇增高患者...",http://weixin.sogou.com/gzh?openid=oIWsFt1Vg3D-oMczKKt9SYgLAxno&ext=zMKRwhGG3zYibtKmTxYVlsnCpetBhbev1m52CXNLqEuDB8cJMWsUuhk91JCR7DuM
1,健之堂,中医专家:10种疾病的三七使用方法,"长2-5厘米,直径1-4厘米,上端有茎痕,周围有瘤状突起,表面光滑,呈灰褐色或黄色,有断续的纵皱纹及支根痕.体重,质坚实,击碎后皮部与木部常分离.横切面灰绿色、黄绿色或灰白色,皮部有细小棕色树脂道斑点.气微味苦,而后微甜.  三七别名金不换、田七、人参三七等.云南省...",http://weixin.sogou.com/gzh?openid=oIWsFt9qVhXphOcqBSXz-iejqi7w&ext=zMKRwhGG3zYx8RE70JX9EzstWqWcnfwC7BCIk1xBJxST7VcgjHXhhN6n2BsrFyVC
1,南京同仁堂黄山精制药业,"三七的使用方法,涨姿势了!","三七别名金不换、田七、人参三七等.云南省文山州所产的三七质量较好,为地道药材.该区内海拔1400-1800米,气候和土壤类型条件最适宜三七生长发育.三七味甘、微苦,温,归肝胃经.既有散瘀止血,消肿定痛之功.据现代药理研究发现三七含有多种三七皂甙、黄酮甙和生物碱等,有...",http://weixin.sogou.com/gzh?openid=oIWsFt4nUcxaccH3QwKFoDRHQTmQ&ext=zMKRwhGG3zZ35v5dk2Ekzt2b7e7_Fnshi4DFkBSv77wi27NHh7aAnNv7niX5gm1C
1,德宏彩云之南,"三七(田七粉,金不换)的功能,用法,禁忌,功效","三七粉(田七粉,金不换)的功能,用法,禁忌,功效 “三七粉”是植物三七(学名:Panax pseudo-ginseng)的根茎制品,是用三七主根打成的粉,是云南白药的主要成分.别名:田七粉,金不换.产自于云南文山,有称北人参,南三七.人参补气第一,三七补血第一.一直以来,三七都...",http://weixin.sogou.com/gzh?openid=oIWsFt80Nda4tt95br0VlbAogD-Y&ext=zMKRwhGG3zb8HLbNF7fWMzjRU0LwjXlQmYHzKZtB3mo1sFZ9oqSv_Apznt4Fv8sY
1,净土三七,"三七各部分用法,一篇了解完全(建议收藏)","三七的主要使用部分主要是根和花,用法常用＂生打熟补＂来概括,＂生＂指生用,＂打＂指其具有止血破血、散瘀消肿,强心定痛耳朵功能:“熟”指熟用,“补”指其具有的补血理血,补益健身、提高人体免疫力的效用.记住:生吃侧重于活血,熟吃侧重于补血.地下部分(根)的用法:...",http://weixin.sogou.com/gzh?openid=oIWsFt7pekju40glo6uw6N6UonEU&ext=zMKRwhGG3zaGdXYl4pGUJDyK7o66QnbWcpAwip2GVz9MImbQ5ds8BGQ3PBrnUZxn
1,云南光叔农业科技有限公司,"光叔三七各部分用法,一篇了解完全(收藏吧)","光叔三七的使用部分主要是根和花,用法常用“生打熟补”来概括.“生”指生用,“打”指其具有止血破血、散瘀消肿、强心定痛的功能;“熟”指熟用,“补”指其具有补血理血、补益健身、提高人体免疫力的效果.记住:生吃侧重于活血,熟吃侧重于补血.  地下部分(根)的用法:光...",http://weixin.sogou.com/gzh?openid=oIWsFt_M8y17gl5zBTCS2wqhqSlM&ext=zMKRwhGG3zaxZwqJ1rlVqX8SsMZdHf-muu2kLQPxL1lz76w9nUht0gqvER0hrfga
